"Date","Credit adjustments & other"
"Q1 2015","-152,000,000"
"Q2 2015","272,000,000"
"Q3 2015","154,000,000"
"Q4 2015","-263,000,000"
"Q1 2016","-336,000,000"
"Q2 2016","38,000,000"
"Q3 2016","-149,000,000"
"Q4 2016","272,000,000"
"Q1 2017","-222,000,000"
"Q2 2017","-18,000,000"
"Q3 2017","-38,000,000"
"Q4 2017","50,000,000"
"Q1 2018","-151,000,000.00"
"Q2 2018","-43,000,000.00"
"Q3 2018","64,000,000.00"
"Q4 2018","-243,000,000.00"
"Q1 2019","136,000,000.00"
"Q2 2019","-70,000,000.00"
"Q3 2019","-71,000,000.00"
"Q4 2019","126,000,000.00"
"Q1 2020","-951,000,000.00"
"Q2 2020","510,000,000.00"
"Q3 2020","169,000,000.00"
"Q4 2020","243,000,000.00"
"Q1 2021","-3,000,000.00"
"Q2 2021","233,000,000.00"
"Q3 2021","108,000,000.00"
"Q4 2021","-88,000,000.00"
"Q1 2022","-524,000,000.00"
